user_id,message,date,age
user_17821,"63 prises et 3 jours de tournage : c'est le temps qu'il a fallu pour réaliser la scène mythique de « La Ruée vers l’or », où Charlie Chaplin, affamé, dévore ses chaussures.","2025-12-29 12:00:18 Paris, Madrid",16d 11h ago
user_17821,"« Comment s'occupe-t-on de nos vieux parents », un épisode pour garder « Les Idées Larges » www.arte.tv/fr/videos/12...","2025-12-29 10:50:22 Paris, Madrid",16d 12h ago
user_17821,"En maison de retraite, l’essentiel du travail est invisible et il est porté par des femmes.","2025-12-29 10:50:22 Paris, Madrid",16d 12h ago
user_17821,"« Et Dieu… reprit la femme » De Vadim à Godard, son image a traversé le cinéma français avant qu’elle ne choisisse d’en sortir. Icône de la Nouvelle Vague, BB en avait fait quelques unes ces dernières années avec ses prises de position.","2025-12-28 12:46:57 Paris, Madrid",17d 10h ago
user_17821,L'intégralité de la série « Mad Men » est toujours disponible sur arte.tv ! www.arte.tv/fr/videos/RC...,"2025-12-26 16:04:12 Paris, Madrid",19d 7h ago
user_17821,« Zou Bisou Bisou » à 2025 en musique avec Megan Draper 🎤,"2025-12-26 16:03:00 Paris, Madrid",19d 7h ago
user_17821,"Portrait de Beatrix Potter, autrice et illustratrice dans l'Angleterre victorienne à qui l'on doit le premier best-seller pour enfants. « Miss Potter », avec Renée Zellweger, ce soir sur nos antennes et jusqu'au 24 janvier 2026 sur ARTE 🐇","2025-12-26 10:00:20 Paris, Madrid",19d 13h ago
user_17821,L'intégralité de Mad Men est aussi disponible pendant les fêtes sur arte.tv 🎁,"2025-12-25 12:07:01 Paris, Madrid",20d 11h ago
user_17821,❤️,"2025-12-25 12:06:39 Paris, Madrid",20d 11h ago
user_17821,"Porté par un tandem au sommet, Joe Wright adapte avec brio le chef d'œuvre de Jane Austen. « Orgueil et préjugés », avec Keira Knightley et Matthew Macfadyen, ce soir sur nos antennes 💗","2025-12-25 10:00:06 Paris, Madrid",20d 13h ago
user_17821,Les recherches de Laurent Keller ont mis un véritable coup de pied dans la fourmillère 🐜,"2025-12-24 17:59:30 Paris, Madrid",21d 5h ago
user_17821,Vous vous apprêtez à assister à une course-poursuite très intense entre une étoile de mer et une coquille Saint-Jacques 🪸,"2025-12-24 16:01:02 Paris, Madrid",21d 7h ago
user_17821,"Avec Obscuria et Feldup, véritables explorateurs de l’horreur en ligne, Tracks plonge dans les MMO désertés, les espaces liminaux et les forums obscurs à la rencontre du nouveau folklore horrifique 👉 www.youtube.com/watch?v=Ug3r...","2025-12-23 13:13:51 Paris, Madrid",22d 10h ago
user_17821,"Le plus dur à disséquer chez l'humain, c'est parfois sa personnalité 💉","2025-12-24 10:01:07 Paris, Madrid",21d 13h ago
user_17821,"Ceci est un vrai vocal, à consommer sans modération 🎄","2025-12-23 18:08:11 Paris, Madrid",22d 5h ago
user_17821,La cocaïne coûte cher mais pas à ceux qui la produisent 💊,"2025-12-23 12:40:30 Paris, Madrid",22d 10h ago
user_17821,"""Noël, c'est le temps de l'unité, du silence, de la tradition. Comme les Jeux Olympiques."" 🏅🎄","2025-12-22 09:39:25 Paris, Madrid",23d 13h ago
user_17821,Difficile d'avoir une vision candide de la récolte du sucre ⤵️,"2025-12-23 10:26:14 Paris, Madrid",22d 12h ago
user_17821,"« Les Saisons », une série pour se réchauffer, à découvrir sur arte.tv 👉 www.arte.tv/fr/videos/RC...","2025-12-22 18:03:29 Paris, Madrid",23d 5h ago
user_17821,"Eté 1991 : le soleil, la mer et l'amour ☀️","2025-12-22 18:01:58 Paris, Madrid",23d 5h ago
user_17821,"Intitulée « Et si la Bible avait une bande annonce ? », cette vidéo a été produite par le site évangélique américain Pray.com. Le Dessous des images analyse les images pour mieux voir, une émission à retrouver sur ARTE ⤵️ www.arte.tv/fr/videos/12...","2025-12-22 17:42:45 Paris, Madrid",23d 5h ago
user_17821,"Avec l’intelligence artificielle, divertir rime parfois avec convertir.","2025-12-22 16:19:14 Paris, Madrid",23d 7h ago
user_17821,Vous aussi vous êtes nostalgique des années 2000 ? 💭,"2025-12-19 10:44:58 Paris, Madrid",26d 12h ago
user_17821,Joyeux anniversaire !!,"2025-12-22 10:54:27 Paris, Madrid",23d 12h ago
user_17821,Quel est le secret du « succès » de l'espèce humaine ? ⬇️ www.arte.tv/fr/videos/12...,"2025-12-22 10:07:02 Paris, Madrid",23d 13h ago
user_17821,Un bijou comme on n'en a jamais assez. Merci pour le retour !,"2025-12-19 18:51:58 Paris, Madrid",26d 4h ago
user_17821,"Plaisir d'offrir, GRANDE joie de recevoir","2025-12-19 18:51:28 Paris, Madrid",26d 4h ago
user_17821,Deux frères Une filmo Un cerveau ? 🍿,"2025-12-19 17:59:28 Paris, Madrid",26d 5h ago
user_17821,"Itinéraire du président tunisien Kaïs Saïed, du premier printemps arabe de 2011 au rétablissement progressif de la dictature 🇹🇳","2025-12-19 15:47:06 Paris, Madrid",26d 7h ago
user_17821,"Au XIXe, l'une des dernières jacqueries, en Ariège, va rendre chèvre les autorités. 3 années intenses durant lesquelles les Demoiselles ont lutté pour continuer à profiter de leurs forêts... en se déguisant 🌳","2025-12-17 18:15:00 Paris, Madrid",28d 5h ago
user_17821,"Entre le président américain et Moscou, c’est une vieille histoire 🤝","2025-12-19 10:00:33 Paris, Madrid",26d 13h ago
user_17821,Il y a du neuf dans l'espace 🪐,"2025-12-18 18:00:43 Paris, Madrid",27d 5h ago
user_17821,"Les idées d'Alfred Nobel, c'est de la dynamite 🧨","2025-12-18 16:03:27 Paris, Madrid",27d 7h ago
user_17821,Haut les mains : Triangle des Bermudes fait un braquage sur la scène de ARTE Dans le Club !,"2025-12-15 15:24:59 Paris, Madrid",1mo 7h ago
user_17821,Il faut avoir l'intelligence de ne pas être intelligent tout le temps ⤵️,"2025-12-18 10:33:36 Paris, Madrid",27d 12h ago
user_17821,"« Si on obtient des bénéfices dans les deux ans, ce sera par accident » : depuis qu’il a prononcé cette phrase, Jeff Bezos a multiplié les accidents 💸","2025-12-17 18:02:20 Paris, Madrid",28d 5h ago
user_17821,"« Edward Abbey, naturellement subversif ! », un documentaire à retrouver sur ARTE, naturellement ⤵️","2025-12-17 16:15:40 Paris, Madrid",28d 7h ago
